flight_id,tow
248753821,108981.7201494992
248753822,135459.2387628002
248754498,
248763650,
248763651,
248757623,
248763603,123501.38278865171
248755068,129986.7586333363
248754229,105137.92781872707
248754231,
248754909,
248754894,
248754384,
248754751,
248754824,
248755682,
248755689,
248753761,
248763792,118429.30883569818
248762986,
248762991,127984.74362077366
248762376,111750.96026985595
248761422,106265.76193101544
248763619,123625.84476626205
248761624,127349.02359181445
248761627,
248761640,122433.5737366642
248750710,
248753679,120163.49873585577
248754397,124636.13145525176
248759534,109077.14639479682
248762961,113490.93319409245
248753208,119710.76285682678
248751710,110085.03988940919
248765798,112912.55778425152
248750971,
248755488,135202.2528530458
248753295,114273.19670368996
248752828,
248751332,134924.90257309913
248753258,
248753261,
248753264,128390.31071778474
248753265,
248753311,121551.8720484893
248751996,122597.03145183406
248755425,133672.98260194538
248752883,128674.05025539926
248765927,
248762752,135854.76967861617
248762652,128606.3425333075
248751084,
248755344,106555.77646237527
248765807,98375.70159875686
248765000,
248762843,
248761148,
248761164,
248752845,
248761172,
248751439,127326.68182096296
248752851,122563.25376673654
248752183,132526.34731340487
248750834,
248765225,150045.1681290215
248765785,127922.80940076726
248751880,112008.46671525741
248750944,
248750874,
248752304,130135.965098169
248753854,
248763348,116029.20783905199
248763352,123973.80062833561
248762706,129950.19735212615
248761901,135202.78608468422
248761913,129043.6400868042
248764407,125405.20065579549
248753620,125850.21102406265
248765929,129966.04194938295
248765932,
248765940,122995.11426191976
248752312,
248750690,118390.19883421613
248752016,
248752150,123683.39569524047
248752160,116356.86915888597
248752038,115847.34411036206
248752732,107659.39455808297
248751339,
248751342,114420.10202008294
248759461,134924.947009069
248761940,122061.65736483672
248761947,101870.40812422159
248751044,
248754284,
248761818,127581.78554999355
248765178,119120.59921897872
248765322,
248764642,130922.42145892364
248751470,117204.8312499375
248750808,103241.47680058828
248752110,
248751237,127222.04145991284
248756734,117655.21202256333
248757437,123802.6681863695
248759410,128323.90116081279
248758277,110926.92060058414
248759968,113068.50264651538
248758745,122676.01638827947
248753765,118932.78424432394
248762592,126700.87101328492
248754577,
248762452,
248762079,116946.58208903963
248764657,
248765234,117828.88048880994
248764565,121120.93518667981
248764894,
248764896,
248765339,102417.44824030894
248764832,
248757006,
248764599,
248758637,139359.95515797578
248764611,136050.4910819101
248765344,107175.13135843063
248765798,112912.55778425152
248765807,98375.70159875686
248765785,127922.80940076726
248765929,129966.04194938295
248765940,122995.11426191976
248765571,126780.79545309332
248765609,125314.61475721595
248765958,113313.30992652732
248785836,103414.1724364945
248770494,110215.04684125986
248776102,104795.9454206033
248779504,109479.15226622255
248776125,124631.1863666047
248783239,128752.67335608999
248782548,131895.6231570583
248773093,130452.37459563212
248773099,111984.44272554654
248784679,132199.24144319427
248784793,108741.13428662498
248769616,123687.42984650518
248770235,112254.19445464527
248774500,127089.60957370637
248774501,128263.23019194986
248787158,112814.55107870356
248782960,117719.4696089944
248782487,119423.5414435731
248783422,111886.16305618365
248783827,113058.88860703402
248783761,125445.5802564167
248783197,125420.17557764196
248775800,122809.60678370044
248770926,130097.03284056646
248775252,124260.9109516646
248775044,111480.86892298749
248775558,115012.58585035783
248776673,125320.2676473831
248783356,129868.57482346913
248782566,140616.29968212955
248780221,112736.23902980192
248784811,112636.59454136442
248783216,110662.09174214752
248784983,118714.28940647122
248784860,121401.43724648944
248774898,117201.92069391097
248774603,125200.50953458335
248775008,106483.54579335023
248774916,120578.25138263873
248782709,125911.84688827134
248783364,117027.26194033583
248784192,113021.27038454052
248784757,125238.66733671102
248776582,126059.87262590462
248775132,114324.98365257657
248783634,118786.67242739294
248782828,130309.52564848878
248783385,110659.50175990362
248768578,110369.93158824249
248777942,126178.19926567495
248774806,123973.45148857235
248780145,98079.25496075823
248780758,124393.68562963864
248780821,128992.4371535216
248782024,105903.03904395446
248777711,120435.25960559223
248769852,99949.91407238484
248778298,125692.27923914601
248784256,110207.82599615585
248778332,103234.03536263385
248776978,129381.44550376013
248785438,112948.66518376942
248775363,122427.60344671228
248779267,121909.16898622927
248767565,123989.76901150847
248781873,129962.85525554363
248784463,123250.90040048766
248781425,115247.45534310797
248781432,110353.64897928268
248768797,106471.1037217864
248767693,116811.14760086902
248786814,126820.98143984578
248767189,112191.90792087775
248773684,102862.74585538133
248777847,111147.78324083141
248776822,137114.973784153
248777863,118144.01403913819
248778864,121448.81233836745
248778874,114041.38059686954
248777928,110418.62071522954
248783677,114222.21595025674
248782053,101587.26529820249
248782057,118481.10213258048
248782069,112929.41806081966
248784486,121983.08822210939
248768376,123967.87160035569
248768623,120142.2646902532
248770194,121633.77706295479
248777660,128610.443338527
248776886,122632.51357377591
248778224,106107.2270865077
248784569,107523.31574834924
248778642,126863.32574513485
248781849,114197.90630073953
248781354,121705.52845830479
248783018,123861.19035868937
248768713,122125.2325417305
248768017,134060.7245270426
248767104,132132.77792825893
248781129,111494.52028773137
248766522,106095.83243423369
248772424,111748.0687578165
248773514,120644.7148975741
248771386,127069.18172355718
248772726,119887.20857119032
248785257,126015.76357781212
248786299,118873.06230081755
248786305,96876.13044551943
248786700,117122.15812799282
248770007,122824.7277094479
248769128,126393.1646179208
248786869,119618.86292313821
248768424,118394.36311939261
248779615,116622.64386868125
248781607,120480.6319048282
248772939,123622.67394241199
248768244,126944.70704995542
248772493,124737.8390422904
248772363,126267.88692286354
248766378,98424.16695889563
248766400,109081.85978160097
248772642,106463.17190116446
248773302,119635.38358193662
248772688,117767.13670867443
248785780,109320.7634256158
248772246,123530.09477318396
248773862,118134.13020983979
248773870,118768.24419588795
248785955,121125.13755983044
248787535,114250.29948321509
248769115,111174.42260476897
248785506,112292.96801235541
248780277,108722.1379095052
248779580,104884.38252263979
248780324,110250.98919288967
248780544,119212.77529048006
248780532,142089.8916629818
248771621,113915.85850397797
248768224,113225.44097010561
248771905,121611.60033999139
248767498,120339.47787253564
248767889,118263.95306981527
248767784,108918.85912212121
248768503,128188.9713383
248772701,99433.88550227055
248785944,135363.4221157673
248785621,117772.37697912133
248785627,127555.87303156315
248786919,135640.08681217878
248769198,119051.5235038145
248780401,104966.72554880829
248779823,100097.7065211763
248780488,117095.27754021881
248780513,116889.24381791701
248773761,101048.0792397898
248772912,121197.9522444595
248767639,131608.5794876841
248772044,122859.62581578575
248772283,111170.8074212202
248773279,111170.5154134182
248773584,121488.68727333081
248771289,120465.82520486767
248787249,102175.44994839239
248786259,119512.83235103071
248786076,129372.24408399902
248785410,124202.43004131674
248780628,121759.23567588939
248780639,101677.51951400693
248781967,115945.16355003699
248781721,123235.35733302642
248769811,116201.20360843273
248770240,114391.72965332042
248787429,130966.39402510866
248785549,112191.79683095308
248786959,124053.29657843453
248786223,106074.266705856
248785867,125421.93397244971
